Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
162;Hellman, Eva, Hinduiska gudinnor och kvinnor 1998;  Vimmerby - Vuxen; ;;Cme;;1998-12-04;;21233920884;25
163;Hellström, Jan Arvid, Vägar till Sveriges kristnande 1996;  Vimmerby - Vuxen; ;;Cj-c;;1998-04-06;;20471260884;51
164;Henrikson, Alf, Biblisk historia. 1, Gamla testamentet 1990;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470370884;15
165;Henrikson, Alf, Biblisk historia. 2, Nya testamentet 1990;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470380884;14
166;Hill, Jonathan, Den kristna kyrkans historia 2008;  Vimmerby - Vuxen; ;;Cj;;2009-07-16;;21793500884;11
167;Hill, Jonathan, Kristendomens spår 2006;  Vimmerby - Vuxen; ;;Ca;;2007-09-12;;21722120884;2
168;Hillerdal, Gunnar, Plymouthbröderna 2007;  Vimmerby - Vuxen; ;;Cks;;2007-09-26;;80034309976;6
169;Hinduismens heliga skrifter 2010;  Vimmerby - Vuxen; ;;Cme;;2010-12-21;;80041465158;6
170;Hjärpe, Jan, Förändringens vind 2009;  Vimmerby - Vuxen; ;;Cmd;;2009-07-17;;21793610884;1
171;Hjärpe, Jan, Islamismer 2010;  Vimmerby - Vuxen; ;;Cmd;;2010-09-22;;80041420673;2
172;Hjärpe, Jan, Islams värld 1990;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471450884;59
173;Hjärpe, Jan, Shari'a 2014;  Vimmerby - Vuxen; ;;Cmd;;2014-07-08;;52725080032;0
174;Hjärpe, Jan, Tusen och en natt & den elfte september 2003;  Vimmerby - Vuxen; ;;C;;2003-10-02;;21333570884;8
175;Hoff, Benjamin, Tao enligt Puh 1984;  Vimmerby - Vuxen; ;;Cm;;1998-08-20;;21225440884;34
176;Holmqvist, Kalle, Gråkoltarna 2013;  Vimmerby - Vuxen; ;;Cj-c;;2014-06-26;;80047026179;0
177;Holtsmark, Anne, Fornnordisk mytologi 1992;  Vimmerby - Vuxen; ;;Cmi;;2001-11-17;2015-03-26;20862310884;37
178;Hughes, Bettany, Sköna Helena 2006;  Vimmerby - Vuxen; ;;Cmg;;2007-06-12;;21717370884;4
179;Hughes, Gerald, Bibelns värld 1981;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470350884;12
180;Hägg, Göran, Gud i Sverige 2010;  Vimmerby - Vuxen; ;;Cj-c;;2010-10-04;;80041431272;9
181;Hägg, Göran, Påvarna 2006;  Vimmerby - Vuxen; ;;Ck;;2006-05-02;;21636670884;13
182;Illustrerat bibellexikon. Bd 1, A-D 1988;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-17;;21705530884;0
183;Illustrerat bibellexikon. Bd 2, E-F 1988;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-24;;21706850884;0
184;Illustrerat bibellexikon. Bd 3, G-I 1988;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-24;;21706860884;0
185;Illustrerat bibellexikon. Bd 4, J-L 1988;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-24;;21706870884;0
