Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
167;Illustrerat bibellexikon. Bd 4, J-L 1988;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-24;;21706870884;0
168;Illustrerat bibellexikon. Bd 5, M-Q 1990;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-25;;21707160884;0
169;Illustrerat bibellexikon. Bd 6, R-S 1990;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-25;;21707170884;0
170;Illustrerat bibellexikon. Bd 7, T-Ö 1991;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-25;;21707180884;0
171;Illustrerat bibellexikon. Bd 8, Bibelöversikt 1991;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-25;;21707190884;1
172;'Irāqī, Fakhr al-Din Ibrāhīm, Gnistornas bok 2006;  Vimmerby - Vuxen; ;;Cmd;;2006-09-18;;21642930884;4
173;Islam 1989;  Vimmerby - Vuxen; ;;Cmd;;1998-08-26;;21225920884;47
174;Islamologi 2012;  Vimmerby - Vuxen; ;;Cmd;;2013-01-24;;80047023799;1
175;Jacobsen, Knut A., Hinduismen 2004;  Vimmerby - Vuxen; ;;Cme;;2004-10-14;;21595780884;23
176;Jacobus de Voragine, Gyllene legender 2007;  Vimmerby - Vuxen; ;;Cj;;2008-05-21;;21749450884;0
177;Jag litar på din kärlek 2007;  Vimmerby - Vuxen; ;;Ci;;2007-05-16;;80034316846;0
178;James, Edwin Oliver, Gravarna berättar 1986;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20471620884;13
179;Jenkins, Elizabeth B., Inkans återkomst 1997;  Vimmerby - Vuxen; ;;Cm;;1998-04-30;;21211660884;28
180;Johannes Damaskenos, Tre försvarstal mot dem som förkastar de heliga bilderna 2008;  Vimmerby - Vuxen; ;;Cd;;2009-01-30;;21776640884;0
181;Johannesson, Karin, Till alla som tycker att livet är en öken 2001;  Vimmerby - Vuxen; ;;Ci;;2003-08-14;;21328170884;4
182;Jones, James, Om Gud är god- 1997;  Vimmerby - Vuxen; ;;Ce;;1998-06-05;;89004934931;23
183;Kallifatides, Theodor, Afrodites tårar 1996;  Vimmerby - Vuxen; ;;Cmg;;1998-04-06;;20471590884;22
184;Kanitkar, Vitthal Pralhad, Hinduism 1989;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471560884;28
185;Karlsson, Ingmar, Tro, terror och tolerans 2004;  Vimmerby - Vuxen; ;;Cm;;2004-04-01;;21350410884;8
186;Kepel, Gilles, Kampen om islam 2006;  Vimmerby - Vuxen; ;;Cmd;;2006-11-28;;21701760884;2
187;Kerényi, Karl, Grekernas och romarnas religion 1962;  Vimmerby - Vuxen; ;;Cmg;;1998-04-06;;20472060884;40
188;Kimball, Charles, När religionen blir ond 2004;  Vimmerby - Vuxen; ;;Cm;;2006-09-06;;21642180884;9
189;Kittler, Glenn D., Edgar Cayce och Dödahavsrullarna 1991;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20470820884;52
190;Koranen. Urval 1994;  Vimmerby - Vuxen; ;;Cmd;;2011-10-08;;20184600884;26
191;Kornhall, Per, Livets ord 2010;  Vimmerby - Vuxen; ;;Cks;;2010-12-30;;80041465182;1
192;Koskinen, Lennart, Uppenbarelseboken 1999;  Vimmerby - Vuxen; ;;Cc;;2002-03-22;;20874190884;10
